Gene	Expr0
Coq6	8.15449
Coro1c	6.80142
Coro2b	7.18161
Cort	6.60578
Cox11	8.3211
Cox8c	7.47623
Cpne5	7.3983
Cpox	7.05718
Cpsf2	8.19395
Cpt1c	7.9142
Cradd	7.50896
Crcp	8.4169
Creb1	7.7925
Creb3l1	6.89117
Crebbp	8.46141
Crebzf	7.68815
Creg1	7.5437
Creld1	7.73336
Crmp1	7.93226
Crnkl1	8.68612
Cry2	7.32901
Csad	7.76813
Csf1	7.55918
Csk	7.41924
Csnk1g1	7.1616
Cspp1	6.79355
Cstf1	8.34333
Ctf1	6.66715
Ctnnal1	7.86254
Ctnnd1	7.76999
Ctps2	7.96985
Ctr9	7.69975
Ctsf	7.17023
Cttnbp2nl	6.74241
Ctxn1	7.05242
Cul3	9.18889
Cul5	8.12302
Cutc	6.90775
Cwf19l1	7.33681
Cwf19l2$Cwf19l2	9.06744
Cxcl1	6.69894
Cxcl16	6.58633
Cxxc1	7.83318
Cyb561	7.35595
Cyb561d2	7.04734
Cyct	8.41811
Cyld	6.67559
Cyp2s1	8.05944
Cyp4f13	6.49763
Cyp51	7.70525
D030051N19Rik	7.22007
D0H4S114	7.05801
D10627	7.68195
D10Ertd641e	7.88969
D10Wsu102e	6.51639
D11Bwg0434e	8.43948
D11Ertd497e	8.77131
D12Ertd647e	6.6903
D14Ertd436e	8.02725
D14Ertd449e	7.76212
D15Wsu169e	6.50628
D16Ertd472e	7.8261
D16H22S680E	6.63919
D17Wsu104e	7.89325
D19Bwg1357e	7.79068
D19Ertd737e	8.21738
D1Bwg1363e	7.00746
D230010M03Rik	7.50872
D230025D16Rik	7.92678
D2Bwg1335e	7.6829
D2Ertd391e	7.59292
D2Ertd435e	7.48207
D2Ertd750e	6.82119
D2Wsu81e	7.11396
D330012F22Rik	7.18847
D330038O06Rik	7.4449
D3Ertd300e	6.89466
D430028G21Rik	8.05207
D4Ertd429e	7.27254
D4Wsu114e	7.64047
D530033C11Rik	7.50547
D5Ertd585e	7.87367
D5Wsu178e	6.68234
D630014A15Rik	6.62647
D730040F13Rik	7.13439
D8Ertd457e	8.25408
D930001I22Rik	7.11076
D930005D10Rik	6.71223
D9Ertd280e	7.26395
D9Ertd402e	6.83581
Daam1	7.20341
Dab2ip	7.87351
Dact2	6.71899
Dalrd3$Dalrd3	7.92768
Dapk1	7.76723
Dars2	8.40442
Dazl	8.91562
Dbt	8.24024
Dcakd	8.62345
Dcbld1	8.25046
Dcbld2	8.14309
Dcp1a	7.67419
Dcps	7.97619
Dctd	8.49473
Dcun1d1$Dcun1d1	7.1511
Dcun1d3	7.50979
Dcun1d4	7.6283
Dcun1d5	8.75824
Ddb2	7.48851
Ddef1	7.02649
Ddef2	6.99907
Ddit4l	7.82489
Ddx11	7.25372
Ddx20	9.52524
Ddx24	8.94402
Ddx31	7.06277
Ddx46	8.77209
Ddx47	8.32926
Ddx49	8.6465
