Gene	Expr0
Tbpl1	8.3023
Tbp	8.31344
Tbl3	8.40203
Tbl2	7.11809
Tbl1xr1	6.29765
Tbkbp1	6.35673
Tbk1	7.70522
Tbcel	7.60302
Tbccd1	6.27721
Tbcc	7.56564
Tbc1d9b	7.51017
Tbc1d9	5.7215
Tbc1d8b	5.70707
Tbc1d8	6.44742
Tbc1d7	7.41463
Tbc1d2b	6.93787
Tbc1d25	7.80322
Tbc1d24	6.08819
Tbc1d23	7.60876
Tbc1d22a	7.09719
Tbc1d20	7.51748
Tbc1d19	7.76339
Tbc1d17	7.56067
Tbc1d16	6.37815
Tbc1d12	7.21575
Tbc1d10a	7.38089
Taz	7.52797
Tatdn2	7.46501
Tatdn1	7.57804
Tasp1	5.93765
Tas1r3	6.08625
Tarsl2	7.15572
Tapt1	7.28042
Tapbp	8.05931
Taok3	6.08401
Taok1	8.08127
Tank	6.12643
Taf9b	5.97972
Taf8	6.61999
Taf7l	6.9647
Taf6l	7.31885
Taf3	6.35679
Taf2	8.40766
Taf1b	8.31178
Taf1a	7.0422
Taf11	7.94176
Taf1	8.13553
Tada3l	8.02457
Tacc1	7.60389
T2	6.24042
Syvn1	7.11739
Sytl1	6.29282
Syt9	8.08887
Syt8	6.24252
Syt5	5.98902
Sys1	7.84262
Sypl	8.06625
Syngr1	7.27495
Syn1	7.26432
Syk	6.39273
Sycp3	8.37755
Swap70	8.08913
Svil	8.01867
Sv2a	6.39939
Suv420h1	6.5553
Suv39h2	7.50972
Suv39h1	7.60788
Susd4	6.30316
Susd2	6.98689
Surf6	7.8678
Surf2	6.05481
Supt7l	6.29079
Supt6h	7.67744
Supt3h	7.70226
Suox	6.13835
Sumf2$LOC100047675	8.36627
Sumf1	6.62645
Sult5a1	6.26458
Sult4a1	7.93978
Sulf1	7.70476
Suhw4$A930005F02Rik	7.06504
Sufu	6.55726
Stxbp2	8.22838
Stxbp1	6.51683
Stx8	7.88376
Stx6	7.06526
Stx5a	6.45456
Stx4a	7.6803
Stx3	8.08893
Stx2	6.96263
Stx1a	5.73361
Stx18	6.27411
Stx17	6.15894
Stx16	8.48297
Sts	7.30959
Strn	7.01911
Strbp$C230082I21Rik	7.84456
Stra8	7.53212
Stoml1	7.93335
Stom	6.79656
Stmn3	7.11982
Stk40	7.77403
Stk38l	7.11777
Stk35	7.34784
Stk31	8.03319
Stk3	7.59407
Stk19	6.8302
Stk17b	7.90577
Stk16	7.19762
Stk11	8.44749
Stk10	8.4005
Stim2	7.05296
Stil	7.92095
Steap3	6.0103
Steap2	7.19162
Steap1	8.31421
